time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.909971,0.001148,-0.000201,0.000097
2.914971,0.001148,-0.000135,0.000070
2.919971,0.001146,-0.000096,0.000054
2.924970,0.001144,-0.000058,-0.000002
2.929970,0.001144,-0.000007,-0.000058
2.934970,0.001144,0.000039,-0.000132
2.939969,0.001144,0.000042,-0.000194
2.944969,0.001142,0.000047,-0.000297
2.949969,0.001142,0.000052,-0.000362
2.954968,0.001142,0.000063,-0.000432
2.959968,0.001141,0.000073,-0.000450
2.964967,0.001139,0.000080,-0.000466
2.969967,0.001138,0.000096,-0.000478
2.974967,0.001138,0.000158,-0.000489
2.979966,0.001136,0.000205,-0.000473
2.984966,0.001135,0.000261,-0.000430
2.989966,0.001134,0.000295,-0.000405
2.994965,0.001132,0.000344,-0.000380
2.999965,0.001131,0.000366,-0.000380
3.004965,0.001131,0.000383,-0.000391
3.009964,0.001130,0.000397,-0.000407
3.014964,0.001129,0.000403,-0.000441
3.019964,0.001128,0.000406,-0.000448
3.024963,0.001126,0.000389,-0.000470
3.029963,0.001126,0.000399,-0.000474
3.034962,0.001125,0.000397,-0.000474
3.039962,0.001124,0.000397,-0.000486
3.044962,0.001123,0.000414,-0.000487
3.049961,0.001122,0.000421,-0.000496
3.054961,0.001118,0.000394,-0.000492
3.059961,0.001115,0.000370,-0.000482
3.064960,0.001112,0.000337,-0.000468
3.069960,0.001110,0.000323,-0.000465
3.074960,0.001107,0.000299,-0.000488
3.079959,0.001104,0.000283,-0.000502
3.084959,0.001101,0.000259,-0.000507
3.089958,0.001099,0.000272,-0.000524
3.094958,0.001096,0.000282,-0.000554
3.099958,0.001095,0.000266,-0.000577
3.104957,0.001093,0.000216,-0.000599
3.109957,0.001093,0.000188,-0.000616
3.114957,0.001093,0.000133,-0.000643
3.119956,0.001093,0.000089,-0.000640
3.124956,0.001091,0.000032,-0.000611
3.129956,0.001090,-0.000008,-0.000585
3.134955,0.001088,-0.000045,-0.000508
3.139955,0.001087,-0.000051,-0.000459
3.144954,0.001084,-0.000074,-0.000388
3.149954,0.001084,-0.000093,-0.000355
3.154954,0.001084,-0.000087,-0.000335
3.159953,0.001084,-0.000079,-0.000329
3.164953,0.001082,-0.000055,-0.000336
3.169953,0.001080,-0.000036,-0.000331
3.174952,0.001077,-0.000009,-0.000326
3.179952,0.001075,0.000003,-0.000321
3.184952,0.001073,0.000017,-0.000316
3.189951,0.001072,0.000027,-0.000330
3.194951,0.001071,0.000043,-0.000382
3.199950,0.001071,0.000030,-0.000413
3.204950,0.001072,0.000010,-0.000442
3.209950,0.001073,-0.000007,-0.000464
3.214949,0.001073,-0.000016,-0.000466
